代码,名称,最新价,涨跌幅,涨跌额,成交量,成交额,振幅,换手率,量比,今开,最高,最低,昨收,涨速,5分钟涨跌,60日涨跌幅,年初至今涨跌幅,市盈率动,市盈率TTM,市盈率静,市净率,每股收益,每股净资产,每股公积金,每股未分配利润,加权净资产收益率,毛利率,资产负债率,营业收入,营业收入同比增长,归属净利润,归属净利润同比增长,报告期,总股本,已流通股份,总市值,流通市值,所处行业,上市时间
920108,宏海科技,24.57,-1.4,-0.35,14265.0,35440093.74,2.65,6.13,1.0,24.96,25.17,24.51,24.92,-0.04,-0.04,9.93,341.11,195.71,65.8,46.18,6.3,,3.902681245,0.0,0.0,0.92,16.5261152504,47.5652178332,144831816.96,21.4376548694,3860450.61,-83.4833369225,2025-03-31,123000000.0,23287750.0,3022110000.0,572180018.0,家电行业,2025-02-06
920106,林泰新材,88.1,-2.57,-2.32,7189.0,63955536.19,2.43,4.24,0.71,90.3,90.3,88.1,90.42,-0.07,-0.29,45.43,107.64,32.05,44.91,60.69,10.44,,8.43952579,0.0,0.0,8.15,48.9638052449,18.3711380929,100679441.28,107.4318352353,38361621.98,287.61817903806,2025-03-31,55828500.0,16948043.0,4918490850.0,1493122588.0,汽车零部件,2024-12-18
920099,瑞华技术,34.0,3.31,1.09,22311.0,75676228.99,4.86,5.66,2.43,33.0,34.53,32.93,32.91,1.04,0.92,6.99,17.89,40.56,22.36,22.99,3.15,,10.803847206,0.0,0.0,1.96,28.9459429607,39.8694424804,102071400.68,1.96495514,16429347.81,24.846483149175,2025-03-31,78399998.0,39384433.0,2665599932.0,1339070722.0,专业服务,2024-09-25
920098,科隆新材,32.49,-0.64,-0.21,8770.0,28478981.87,2.63,2.01,0.78,32.99,33.1,32.24,32.7,-0.09,-0.09,-2.29,9.17,59.69,30.51,30.4,2.87,,11.320849847,0.0,0.0,1.25,36.3344693619,16.1311117394,84191855.55,7.4324156937,11066017.61,-2.713008544169,2025-03-31,81320369.0,43537729.0,2642098789.0,1414540815.0,橡胶制品,2024-12-05
920088,科力股份,29.86,4.77,1.36,41557.0,122264534.97,7.37,20.83,2.33,28.28,30.3,28.2,28.5,0.0,0.2,12.55,26.53,45.53,44.1,48.91,3.96,,7.534432972,0.0,0.0,2.2,40.6922598836,11.2650899901,74787780.47,18.4791069036,14438527.61,68.460882887839,2025-03-31,88071500.0,19950000.0,2629814990.0,595707000.0,采掘行业,2024-10-29
920082,方正阀门,19.36,0.89,0.17,22998.0,44780384.53,2.5,7.09,0.88,19.51,19.69,19.21,19.19,0.1,0.26,17.05,32.15,22.31,39.05,42.44,5.52,,3.505125748,0.0,0.0,6.05,25.2508039527,48.4389029266,169578323.17,-21.6549495667,31536143.92,22.380137062047,2025-03-31,145355000.0,32432415.0,2814072800.0,627891554.0,通用设备,2024-12-26
920068,天工股份,20.7,0.53,0.11,64379.0,134933873.7,3.45,10.27,0.87,20.7,21.29,20.58,20.59,0.05,-0.1,425.38,425.38,77.63,77.63,77.63,10.86,,1.906030523,0.0,0.0,18.38,30.3991737828,13.9371671175,801250840.6,-22.592656601,172419844.47,1.569871859031,2024-12-31,646600015.0,62704261.0,13384620311.0,1297978203.0,小金属,2025-05-13
920066,科拜尔,31.76,-0.13,-0.04,12383.0,38927600.18,3.49,7.26,0.91,31.77,31.81,30.7,31.8,-0.16,-0.03,6.36,28.01,53.79,40.95,41.14,5.22,,6.087358858,0.0,0.0,4.21,15.4651693175,10.9266761708,119573041.59,19.1947171525,9277675.23,2.512211556582,2025-03-31,62853326.0,17054251.0,1996221634.0,541643012.0,塑料制品,2024-10-31
920060,万源通,30.49,-1.8,-0.56,36711.0,111874493.73,2.61,5.24,1.38,30.9,31.01,30.2,31.05,-0.03,-0.03,-15.52,0.99,40.78,38.07,37.59,4.73,,6.44186993,0.0,0.0,2.73,23.4077560941,37.3379130485,241999073.18,12.1226623358,28419681.99,-5.117608999491,2025-03-31,152044663.0,70101274.0,4635841775.0,2137387844.0,电子元件,2024-11-19
920029,开发科技,96.36,-2.9,-2.88,18479.0,180567186.95,2.83,5.81,1.09,98.58,99.17,96.36,99.24,-0.08,-0.17,233.66,233.66,16.48,20.11,22.72,4.35,,22.16134962,0.0,0.0,9.15,36.5903928245,27.7992929554,809728839.81,35.4301996061,202963224.17,60.301374770551,2025-03-31,138886667.0,31793334.0,13383119232.0,3063605664.0,仪器仪表,2025-03-28
920027,交大铁发,,,,,,,0.0,,,,,8.81,,,0.0,0.0,,,,,,,,,,,,,,,,,,,,,交运设备,2025-06-10
920019,铜冠矿建,22.79,4.16,0.91,64462.0,146396993.07,5.44,11.54,3.01,21.91,22.99,21.8,21.88,-0.04,0.04,-6.6,16.28,56.7,63.37,66.86,5.11,,4.455569143,0.0,0.0,2.28,12.4082988133,43.0267080017,332669262.33,12.2816812902,21129204.96,22.96129362327,2025-03-31,210266700.0,55864900.0,4791978093.0,1273161071.0,采掘行业,2024-10-11
920016,中草香料,27.91,-1.2,-0.34,33732.0,94913182.49,5.56,12.8,0.67,27.69,29.06,27.49,28.25,0.0,0.04,9.75,41.39,140.47,79.62,58.66,5.87,,4.75350795,0.0,0.0,1.04,32.8229645883,38.7012829674,47253258.03,10.3564967792,3823967.56,-71.603782414804,2025-03-31,76981929.0,26359121.0,2148565638.0,735683067.0,化学制品,2024-09-13
920008,成电光信,38.93,-0.36,-0.14,22599.0,89301344.11,3.69,6.81,0.88,39.35,40.32,38.88,39.07,0.0,-0.05,-5.14,27.22,-160.85,90.16,49.34,8.16,,4.769346663,0.0,0.0,-1.26,39.5038316938,34.3786066835,20263208.42,-73.9165290456,-3857380.64,-120.395558697867,2025-03-31,63750000.0,33174309.0,2481787500.0,1291475849.0,电子元件,2024-08-29
920002,万达轴承,204.2,-1.53,-3.17,6911.0,140594706.56,3.07,12.02,0.94,207.37,207.37,201.01,207.37,-0.01,0.12,-17.67,203.73,89.54,107.32,115.28,9.52,,21.457121342,0.0,0.0,2.69,31.6167175794,7.5939703183,88372985.62,3.3124699666,18530864.04,29.95134447395,2025-03-31,32502120.0,5750000.0,6636932904.0,1174150000.0,通用设备,2024-05-30
873833,美心翼申,20.48,-1.59,-0.33,24454.0,50301670.16,2.59,3.91,0.94,20.89,20.89,20.35,20.81,-0.1,-0.29,31.62,79.65,39.53,54.83,68.03,2.73,,7.506966085,0.0,0.0,1.74,24.6843777458,17.3731712195,120100179.86,13.4548063717,10667194.56,126.996465597346,2025-03-31,82360000.0,62466750.0,1686732800.0,1279319040.0,通用设备,2023-11-08
873806,云星宇,16.26,-1.09,-0.18,88203.0,144624891.58,4.56,2.93,0.57,16.43,16.88,16.13,16.44,0.0,-0.25,-5.9,27.43,58.8,42.52,42.12,3.22,,5.051680841,0.0,0.0,1.38,13.4383355349,57.1583684561,457652260.21,3.5325663162,20792469.79,-4.980726617664,2025-03-31,300736667.0,300736667.0,4889978205.0,4889978205.0,软件开发,2024-01-11
873726,卓兆点胶,31.07,0.62,0.19,30557.0,93234387.11,4.44,13.14,1.18,30.3,31.47,30.1,30.88,0.13,0.88,2.98,49.52,137.19,-651.28,-122.89,4.4,,7.066275142,0.0,0.0,0.81,56.6157884139,22.4716395791,58434784.46,216.8758615777,4647037.28,138.127410625068,2025-03-31,82077246.0,23261756.0,2550140033.0,722742759.0,专用设备,2023-10-19
873706,XD铁拓机,20.12,0.15,0.03,28528.0,58067275.02,3.24,6.74,0.99,20.26,20.68,20.03,20.09,-0.05,-0.05,-5.76,66.56,42.02,38.8,36.33,3.38,,5.952888116,0.0,0.0,1.97,30.7187110817,30.5751751093,92702170.59,-6.5036620159,11060836.66,-22.701610650231,2025-03-31,92405245.0,42346870.0,1859193529.0,852019024.0,工程机械,2024-03-08
873703,DR广厦环,17.7,-1.88,-0.34,19868.0,35179135.36,3.38,2.61,1.02,18.06,18.13,17.52,18.04,-0.17,0.0,-5.09,21.82,44.19,20.49,17.3,2.53,,6.984846979,0.0,0.0,1.39,40.8931800649,15.2523857387,60424069.37,-62.0550360962,15094436.11,-61.368817539792,2025-03-31,150724000.0,76265147.0,2667814800.0,1349893102.0,专用设备,2023-12-05
873693,阿为特,42.05,-0.8,-0.34,7391.0,31216395.47,2.22,2.02,1.03,42.6,42.77,41.83,42.39,0.19,-0.12,-17.66,18.58,158.48,195.32,178.08,8.76,,4.798824221,0.0,0.0,1.37,19.7231992026,15.4935151482,68344387.65,32.2184880517,4822512.18,-23.909455197383,2025-03-31,72700000.0,36610000.0,3057035000.0,1539450500.0,专用设备,2023-10-27
873690,捷众科技,24.9,-1.43,-0.36,10540.0,26412747.69,3.05,3.44,1.0,25.26,25.51,24.74,25.26,0.16,0.12,-3.45,42.12,30.53,27.5,26.41,3.05,,8.17316706,0.0,0.0,2.41,37.2676314319,11.4493034074,72912140.23,44.2437504509,13520335.08,-15.486128372241,2025-03-31,66300000.0,30626400.0,1650870000.0,762597360.0,汽车零部件,2024-01-05
873679,前进科技,21.35,-1.52,-0.33,7733.0,16646091.4,2.86,2.95,0.96,21.87,21.87,21.25,21.68,-0.05,0.0,6.17,30.26,-220.17,150.26,51.54,2.37,,9.002710574,0.0,0.0,-0.27,25.1200556556,5.5138038945,14677892.44,-74.3964595789,-1353979.03,-109.778432412641,2025-03-31,55850000.0,26179250.0,1192397500.0,558926988.0,通用设备,2023-11-10
873665,科强股份,16.06,-2.01,-0.33,78869.0,128243906.8,10.01,12.31,1.37,16.04,17.3,15.66,16.39,0.0,0.88,7.86,55.92,52.04,39.89,33.62,2.9,,5.534692582,0.0,0.0,1.4,34.9623066486,13.3359146025,65274263.45,-17.6473637716,10029068.64,-49.356036542741,2025-03-31,129990000.0,64071668.0,2087639400.0,1028990988.0,橡胶制品,2023-09-26
873593,鼎智科技,36.0,-1.13,-0.41,28836.0,104253825.92,2.91,1.78,0.74,36.1,36.88,35.82,36.41,0.0,0.06,-15.57,34.03,133.93,147.37,175.11,10.38,,3.469431562,0.0,0.0,1.88,54.4757999418,7.5459570128,58794956.08,35.7606366252,12650463.01,135.753826999495,2025-03-31,188246392.0,161610277.0,6776870112.0,5817969972.0,电机,2023-04-13
873576,天力复合,36.26,1.4,0.5,30377.0,109900807.48,4.45,2.84,0.54,36.14,36.9,35.31,35.76,0.0,0.06,30.34,74.66,104.67,75.51,65.07,8.65,,4.194072847,0.0,0.0,2.09,15.9560113863,33.92964605,135022431.16,-22.7393003839,9435695.71,-47.075615197385,2025-03-31,108950000.0,107129937.0,3950527000.0,3884531516.0,通用设备,2023-07-12
873570,坤博精工,38.22,-0.34,-0.13,10453.0,40068290.48,2.06,4.24,0.5,38.58,38.8,38.01,38.35,0.03,0.08,-0.86,40.72,167.46,345.53,183.72,5.63,,6.78838379,0.0,0.0,0.83,21.4049326602,12.5257172144,29707061.97,-33.403664472,2862575.66,-63.063009741751,2025-03-31,50169821.0,24628672.0,1917490559.0,941307844.0,通用设备,2023-11-23
873527,夜光明,20.7,-5.74,-1.26,84218.0,174219007.13,8.56,23.17,1.87,21.1,21.88,20.0,21.96,0.34,-0.14,19.03,78.29,85.15,50.79,53.69,3.28,,6.309335477,0.0,0.0,0.96,20.3852355075,33.6454656304,83659608.66,6.5431464174,3649203.99,56.712843482124,2025-03-31,60042700.0,36347987.0,1242883890.0,752403331.0,化学制品,2022-10-27
873339,恒太照明,11.57,-1.36,-0.16,18466.0,21818257.83,6.22,1.22,1.64,12.17,12.29,11.56,11.73,0.0,-0.26,20.15,48.71,38.16,36.07,38.37,4.36,,2.655143108,0.0,0.0,2.79,21.727718743,26.9968940364,151090016.62,27.81926571,16690894.85,34.02298024641,2025-03-31,220203800.0,150897135.0,2547757966.0,1745879852.0,家电行业,2022-11-17
873305,九菱科技,47.32,-1.02,-0.49,44313.0,210493994.56,6.36,12.22,0.85,47.49,49.2,46.16,47.81,0.06,0.34,64.48,154.27,122.34,121.71,126.89,9.43,,5.017297644,0.0,0.0,1.89,25.5494779136,19.5759411895,36306621.26,4.4386009485,6272511.85,19.622435537975,2025-03-31,64867730.0,36277191.0,3069540984.0,1716636678.0,通用设备,2022-12-21
873223,荣亿精密,11.26,-1.05,-0.12,15558.0,17616193.19,2.37,1.91,0.48,11.44,11.49,11.22,11.38,0.0,-0.18,-13.78,17.29,-115.99,-65.73,-57.64,6.85,,1.643826449,0.0,0.0,-1.47,12.1637041522,48.2752236612,82736897.61,29.9616556831,-3817112.52,49.74585647579,2025-03-31,157285000.0,81583750.0,1771029100.0,918633025.0,工程机械,2022-06-09
873169,七丰精工,33.08,7.51,2.31,163610.0,559424772.86,14.43,32.2,2.08,32.46,36.89,32.45,30.77,0.06,-0.24,88.38,149.1,307.81,186.19,193.99,8.76,,3.777061614,0.0,0.0,0.7,24.4391927126,15.7525641138,42108226.0,20.568067897,2196262.25,36.23423324343,2025-03-31,81745390.0,50811990.0,2704137501.0,1680860629.0,通用设备,2022-04-15
873167,新赣江,25.75,-0.39,-0.1,15855.0,40977887.96,1.82,3.79,0.55,26.05,26.1,25.63,25.85,0.0,-0.04,-11.18,84.32,85.71,128.95,81.42,3.86,,6.663936897,0.0,0.0,1.12,46.2056478293,13.6867505429,34137710.78,-14.3359568451,5322521.92,-60.815238257282,2025-03-31,70861250.0,41781867.0,1824677188.0,1075883075.0,化学制药,2023-02-09
873152,天宏锂电,17.63,0.4,0.07,17926.0,31714373.79,2.51,2.63,0.7,17.62,17.96,17.52,17.56,-0.06,-0.06,-16.72,18.16,149.91,224.47,258.45,6.95,,2.536139706,0.0,0.0,1.15,11.9881312509,44.2540718656,101671462.34,8.978196636,3018081.17,54.130856570535,2025-03-31,102650665.0,68231239.0,1809731224.0,1202916744.0,电池,2023-01-19
873132,泰鹏智能,25.1,-0.32,-0.08,22031.0,55554901.6,4.45,7.83,0.5,24.9,25.7,24.58,25.18,0.32,-0.32,58.36,107.27,49.66,144.86,97.96,8.1,,3.097014916,0.0,0.0,4.04,25.3599656098,30.5917085364,88890724.92,-34.4462420603,10464878.23,-39.633771568505,2025-03-31,82824000.0,28123225.0,2078882400.0,705892948.0,家用轻工,2023-11-16
873122,中纺标,44.8,0.29,0.13,5559.0,25044327.46,2.42,1.63,1.26,44.76,45.65,44.57,44.67,0.0,-0.44,-13.98,-9.02,-1048.58,139.66,140.82,12.65,,3.542421527,0.0,0.0,-0.29,36.7020040461,13.6343176953,35220448.0,-7.2924105962,-985250.1,19.895947753285,2025-03-31,92242108.0,34089138.0,4132446438.0,1527193382.0,专业服务,2022-09-27
873001,纬达光电,21.9,1.2,0.26,31745.0,69098192.03,2.96,3.58,1.28,21.56,22.04,21.4,21.64,0.05,0.32,-16.98,31.37,137.93,106.0,102.13,4.46,,4.908941662,0.0,0.0,0.8,34.0576624726,9.1386850035,43767361.11,-11.2730097176,6099316.16,-16.497181754152,2025-03-31,153656204.0,88691020.0,3365070868.0,1942333338.0,光学光电子,2022-12-27
872953,国子软件,52.11,0.93,0.48,24656.0,128107364.85,4.45,9.04,1.44,51.3,53.14,50.84,51.63,-0.04,-0.04,-0.36,77.85,159.38,72.14,77.93,8.63,,6.035233187,0.0,0.0,1.37,56.1833998142,8.3218730015,31078046.75,19.2120909457,7512052.32,191.548347065118,2025-03-31,91904900.0,27263667.0,4789164339.0,1420709687.0,软件开发,2023-08-23
872931,无锡鼎邦,17.45,1.45,0.25,14321.0,24731572.02,3.6,4.98,0.77,17.2,17.51,16.89,17.2,0.0,-0.11,6.99,64.31,49.37,44.2,41.85,4.1,,4.254712339,0.0,0.0,2.1,22.21436147,38.8617244723,85265362.39,-18.613010123,8300665.61,-20.004555461988,2025-03-31,93930000.0,28775800.0,1639078500.0,502137710.0,专用设备,2024-04-08
872925,锦好医疗,15.84,0.89,0.14,19865.0,31231660.28,3.5,3.59,0.43,15.66,16.05,15.5,15.7,1.02,0.64,11.71,36.08,115.1,182.7,258.91,4.31,,3.675574701,0.0,0.0,0.93,41.6707437952,21.352645891,55628550.27,53.9548814332,3360866.95,287.295556374454,2025-03-31,97686643.0,55295053.0,1547356425.0,875873640.0,医疗器械,2021-10-25
872895,花溪科技,31.07,-1.37,-0.43,10022.0,31633613.32,6.48,3.49,0.67,31.4,32.54,30.5,31.5,-1.21,-1.4,77.04,156.56,-148.6,-514.73,1123.92,8.98,,3.459304442,0.0,0.0,-1.5,17.8203726012,15.5281667611,3720033.16,-76.5012625093,-2954622.26,-246.281415171378,2025-03-31,56524000.0,28736900.0,1756200680.0,892855483.0,专用设备,2023-04-06
872808,曙光数创,,,,,,,0.0,,,,,50.6,,,-28.88,-24.93,-80.64,270.92,164.76,14.77,,3.426975024,0.0,0.0,-4.43,-17.2097882424,46.6488215938,11669677.87,-1.3652398785,-31372508.98,-329.656506631568,2025-03-31,200000001.0,194603262.0,10120000051.0,9846925057.0,通用设备,2022-11-18
872541,铁大科技,17.18,0.82,0.14,27983.0,48231441.34,2.52,3.11,0.52,17.13,17.43,17.0,17.04,-0.12,-0.41,5.21,43.53,37.41,38.55,41.21,5.69,,3.018412905,0.0,0.0,3.69,57.1599732654,31.3528142053,61611033.61,16.201449899,15695141.28,33.429492383878,2025-03-31,136700000.0,90058684.0,2348506000.0,1547208191.0,交运设备,2023-03-10
872392,DR佳合科,21.27,1.53,0.32,25776.0,54553040.73,4.53,7.08,1.27,21.08,21.75,20.8,20.95,0.57,0.9,24.39,55.37,78.0,45.61,47.91,4.9,,4.342374743,0.0,0.0,1.55,15.6247808697,29.4382471458,156439591.85,106.5982919076,5195069.1,48.805952947221,2025-03-31,76205000.0,36389900.0,1620880350.0,774013173.0,包装材料,2022-12-30
872374,云里物里,32.46,0.74,0.24,36879.0,118865578.96,6.36,10.91,2.31,32.06,33.33,31.28,32.22,0.0,0.06,-24.6,28.91,168.71,147.68,117.79,10.26,,3.164759828,0.0,0.0,1.53,40.0757098215,21.3087058703,53521859.09,-7.6118011781,3921039.06,-53.702532909901,2025-03-31,81518000.0,33789881.0,2646074280.0,1096819537.0,电子元件,2022-11-29
872351,华光源海,31.82,0.13,0.04,51123.0,164841340.87,3.46,14.5,0.66,32.26,32.88,31.78,31.78,0.03,0.03,111.29,208.93,65.74,113.72,159.76,6.1,,5.215258712,0.0,0.0,2.35,8.4147030392,48.2010170826,480737927.55,16.4526344888,10653640.22,199.599147325643,2025-03-31,88035439.0,35260439.0,2801287669.0,1121987169.0,物流行业,2022-12-29
872190,XD雷神科,34.32,-0.64,-0.22,21597.0,73910138.1,2.2,2.19,0.5,34.66,34.66,33.9,34.54,0.06,0.12,-18.01,18.34,90.37,137.82,159.64,4.03,,8.508851563,0.0,0.0,1.11,9.2921940308,51.6572099727,571203361.06,-8.7883183158,9494030.62,55.883397939356,2025-03-31,100000001.0,98675051.0,3432000034.0,3386527750.0,消费电子,2022-12-23
871981,晶赛科技,36.62,0.16,0.06,16863.0,61836599.25,3.25,4.52,1.24,36.6,37.33,36.14,36.56,0.05,-0.16,4.06,38.29,684.24,373.19,472.72,5.48,,6.687509369,0.0,0.0,0.2,15.6440081368,35.5124371241,129577907.61,4.646654496,1023121.65,283.804889821621,2025-03-31,76468000.0,37309618.0,2800258160.0,1366278211.0,电子元件,2021-11-15
871970,大禹生物,8.98,2.05,0.18,46146.0,41146057.69,3.75,6.68,0.67,8.8,9.07,8.74,8.8,-0.11,0.0,20.7,59.79,-77.17,-43.99,-41.77,3.45,,2.605290946,0.0,0.0,-1.11,20.0070509224,31.9068533296,29472938.03,17.418743908,-3239570.36,27.214962193774,2025-03-31,111360400.0,69040900.0,1000016392.0,619987282.0,农牧饲渔,2022-05-18
871857,泓禧科技,18.79,0.0,0.0,5572.0,10452238.67,2.55,0.75,0.63,19.01,19.01,18.53,18.79,0.0,0.05,-2.69,32.7,123.97,112.06,85.14,3.63,,5.177241976,0.0,0.0,0.72,7.1945015589,28.457487805,105067356.76,-10.1008463799,2804302.92,-58.317046073829,2025-03-31,74007152.0,74007152.0,1390594386.0,1390594386.0,电子元件,2022-02-28
871753,天纺标,29.23,0.41,0.12,9670.0,28253090.66,1.61,3.07,1.06,29.28,29.48,29.01,29.11,-0.07,0.1,-6.7,5.11,188.22,79.03,82.78,6.35,,4.604500586,0.0,0.0,0.79,46.904496861,13.3149579819,41114179.92,20.9525566826,3160478.97,75.908535924859,2025-03-31,81404368.0,31483900.0,2379449677.0,920274397.0,专业服务,2022-10-31
871694,中裕科技,19.5,-0.26,-0.05,12166.0,23660543.96,1.69,1.95,0.62,19.49,19.65,19.32,19.55,0.15,0.26,39.19,73.8,20.83,21.27,24.71,3.14,,6.202792591,0.0,0.0,3.71,50.7227783904,35.7388807509,184379049.33,48.7492968298,31089400.69,119.765719261149,2025-03-31,132840630.0,62490441.0,2590392285.0,1218563600.0,橡胶制品,2023-04-24
871642,通易航天,18.7,1.3,0.24,103129.0,197433165.33,5.9,10.24,1.13,18.84,19.78,18.69,18.46,-0.05,-0.27,30.5,61.62,-329.23,459.84,-1223.3,7.98,,2.344101604,0.0,0.0,-0.59,30.3667421139,43.6528542169,32440844.8,14.411645317,-1472118.06,79.758490055288,2025-03-31,103670278.0,100706878.0,1938634199.0,1883218619.0,橡胶制品,2021-08-16
871634,新威凌,29.08,13.86,3.54,86460.0,249734681.95,17.31,21.62,4.08,25.77,30.19,25.77,25.54,-0.03,0.1,3.93,93.87,152.27,72.44,66.59,6.95,,4.184576449,0.0,0.0,1.13,7.6680081468,19.3743282123,173749213.42,15.577246973,3044223.96,-42.502489615805,2025-03-31,63762046.0,39997368.0,1854200298.0,1163123461.0,有色金属,2022-11-24
871553,凯腾精工,10.07,0.2,0.02,15420.0,15501853.06,1.59,1.68,0.64,10.02,10.14,9.98,10.05,0.2,0.2,-0.4,46.58,-175.7,111.18,94.06,4.38,,2.29920133,0.0,0.0,-0.6,27.5141107986,35.9923750312,98071642.72,5.8037816436,-2058810.82,-763.890737857084,2025-03-31,143690460.0,91865218.0,1446962932.0,925082745.0,造纸印刷,2021-08-06
871478,巨能股份,28.53,-0.73,-0.21,12656.0,36022245.03,2.26,5.5,0.83,28.62,28.8,28.15,28.74,-0.07,0.21,-23.84,8.36,299.45,295.05,-1896.77,8.14,,3.504816356,0.0,0.0,0.68,30.8794021992,40.5195086499,36058736.98,-3.6091040152,1821654.96,127.092664607076,2025-03-31,76479097.0,23000000.0,2181948637.0,656190000.0,专用设备,2023-05-12
871396,常辅股份,45.18,3.27,1.43,63237.0,281377417.12,6.61,14.93,0.86,43.96,45.76,42.87,43.75,0.09,0.04,107.25,183.97,115.49,75.04,71.52,8.46,,5.342189322,0.0,0.0,1.77,40.0585575033,41.5236601367,46045706.31,-21.3131502896,5866191.21,-23.225621767811,2025-03-31,59980280.0,42343519.0,2709909050.0,1913080188.0,通用设备,2020-11-18
871263,莱赛激光,22.69,1.02,0.23,175038.0,419501901.33,14.74,33.73,1.28,22.98,26.0,22.69,22.46,0.0,-1.35,22.58,87.52,1868.8,-201.85,-254.25,6.23,,3.641153023,0.0,0.0,0.08,19.7337091139,19.1687875879,45691127.39,24.6419305667,289726.11,-88.415843974833,2025-03-31,95450000.0,51889370.0,2165760500.0,1177369805.0,仪器仪表,2023-12-28
